strategy,n,success_count,success_rate,mean_attempt_catch_time_s,std_attempt_catch_time_s,mean_success_catch_time_s,std_success_catch_time_s,mean_success_terminal_error_m,std_success_terminal_error_m,mean_success_radial_error_m,std_success_radial_error_m,mean_success_max_abs_ddq,mean_success_max_velocity_ratio,mean_success_solve_time_s,mean_success_iter_count,mean_success_terminal_normal_alignment,min_success_tcp_table_clearance_m,min_success_frame_table_clearance_m,min_success_self_sphere_clearance_m,failure_count
earliest_nlp_feasible,20,19,0.95,1.3890000000000005,0.019973666874689065,1.3863157894736846,0.016401397743888015,0.012239776448031897,0.00584860305303908,0.01124257548580452,0.0060230575946382614,1.9999501648842202,0.4878057903772241,0.03830433157899231,13.526315789473685,0.7350077817493398,0.6210233285732139,0.1148,0.16345807718570465,1
latest_nlp_feasible,20,19,0.95,1.4350000000000005,0.008885233166386394,1.4347368421052635,0.00904827856717729,0.0016246797362382728,0.0007449077360236533,0.005890076024968453,0.0033882860154526365,1.6348826673585781,0.33917848529501826,0.03367812631579095,10.263157894736842,0.9885320618497789,0.44088235646499724,0.1148,0.13042307104572487,1
simple_geometric,20,0,0.0,1.2960000000000005,0.010462967275611948,,,,,,,,,,,,,,,20
smart_cost,20,19,0.95,1.4340000000000004,0.009403246919632553,1.4336842105263161,0.009551338658818393,0.0015823895449168135,0.0007042052485378306,0.005917229792548671,0.0033906788300166646,1.634877401732534,0.33686574142800246,0.03344525263156883,10.263157894736842,0.9877872081562851,0.44088235646499724,0.1148,0.14013147863512299,1
uncertainty_guard_feasible,20,19,0.95,1.3890000000000005,0.019973666874689065,1.3863157894736846,0.016401397743888015,0.012239776448031897,0.00584860305303908,0.01124257548580452,0.0060230575946382614,1.9999501648842202,0.4878057903772241,0.03830433157899231,13.526315789473685,0.7350077817493398,0.6210233285732139,0.1148,0.16345807718570465,1
